Week	Day	Team1	Team2	B1	B2	P1-1	P1-2	P1-3	P2-1	P2-2	P2-3	Result	Patch	Notes	Link	Region
6	2	NME	TDK	Sivir,Vladimir,Azir	Ryze,Alistar,Ezreal	Kalista	Shen,Rek'Sai	Ahri,Annie	Gragas,Nautilus	Rumble,Tristana	Diana	1	5.12	Darius Disabled for Week 6	oSBTJixgnBs	NA
6	2	CLG	TIP	Nautilus,Maokai,Shen	Kalista,Ryze,Alistar	Gragas	Jinx,Rumble	Lulu,Morgana	Nidalee,Sivir	Gnar,Janna	Ezreal	2	5.12	Darius Disabled for Week 6	liHqDlk-ibw	NA
6	2	TSM	GV	Urgot,Nautilus,Alistar	Ryze,Azir,Kalista	Gragas	Corki,Annie	Gnar,Ezreal	Sivir,Shen	Maokai,Nidalee	Jarvan IV	2	5.12	Darius Disabled for Week 6	vgxgEe-lLjc	NA
6	2	DIG	TL	Gragas,Nautilus,Annie	Ryze,Kalista,Diana	Alistar	Evelynn,Ezreal	Shen,Varus	Rek'Sai,Sivir	Thresh,Maokai	Twisted Fate	2	5.12	Darius Disabled for Week 6	9JmwvUl8qHM	NA
6	2	T8	C9	Rek'Sai,Sivir,Twisted Fate	Ryze,Kalista,Gragas	Shen	Jarvan IV,Ezreal	Graves,Thresh	Rumble,Alistar	Lee Sin,Corki	Zed	1	5.12	Darius Disabled for Week 6	fPKRwCty_y8	NA
7	1	TL	TDK	Vladimir,Diana,Nautilus	Ryze,Annie,Kalista	Sivir	Gragas,Janna	Gnar,Azir	Rek'Sai,Alistar	Maokai,Vayne	Ezreal	1	5.12		0lQgROsWfWs	NA
7	1	NME	CLG	Sivir,Alistar,Twisted Fate	Ryze,Shen,Kalista	Nautilus	Rek'Sai,Ezreal	Corki,Braum	Gragas,Tristana	Orianna,Janna	Fizz	2	5.12		qEr1ddl61UI	NA
7	1	GV	C9	Fizz,Twisted Fate,Azir	Ryze,Kalista,Nautilus	Shen	Maokai,Sivir	Nidalee,Urgot	Rumble,Rek'Sai	Vayne,Braum	Viktor	1	5.12		rvWsKNZW6Tg	NA
7	1	T8	TSM	Sivir,Yasuo,Gnar	Ryze,Fizz,Alistar	Kalista	Gragas,Thresh	Maokai,Azir	Nautilus,Shen	Vi,Jinx	Ezreal	1	5.12		h780zbOCxNU	NA
7	1	TIP	DIG	Rek'Sai,Kalista,Gragas	Nidalee,Ryze,Maokai	Sivir	Lee Sin,Shen	Gnar,Twisted Fate	Rumble,Alistar	Jarvan IV,Corki	Varus	1	5.12		K8npSsC0u94	NA
