Week	Day	Team	Player	Role	Champ	Kills	Deaths	Assists	Region	W	L
2	1	OG	Amazing	Jungle	Sejuani	9	3	22	EU	1	0
2	1	OG	xPeke	Mid	Vladimir	6	2	15	EU	1	0
2	1	OG	Niels	ADC	Urgot	14	1	18	EU	1	0
2	1	OG	Mithy	Support	Thresh	0	3	31	EU	1	0
2	1	H2K	Odoamne	Top	Rumble	7	2	6	EU	1	0
2	1	H2K	Loulex	Jungle	Rek'Sai	0	0	11	EU	1	0
2	1	H2K	Ryu	Mid	LeBlanc	5	1	8	EU	1	0
2	1	H2K	Hjarnan	ADC	Kalista	10	1	4	EU	1	0
2	1	H2K	kaSing	Support	Thresh	0	1	12	EU	1	0
2	1	UOL	Vizicsacsi	Top	Ryze	5	1	7	EU	1	0
2	1	UOL	Kikis	Jungle	Gragas	1	0	10	EU	1	0
2	1	UOL	PowerOfEvil	Mid	Cassiopeia	7	0	4	EU	1	0
2	1	UOL	Vardags	ADC	Sivir	3	1	11	EU	1	0
2	1	UOL	Hylissang	Support	Morgana	0	1	13	EU	1	0
2	1	GMB	Cabochard	Top	Gragas	3	6	1	EU	0	1
2	1	GMB	Diamond	Jungle	Volibear	0	4	2	EU	0	1
2	1	GMB	Betsy	Mid	Fizz	2	2	1	EU	0	1
2	1	GMB	Forg1ven	ADC	Ashe	0	5	3	EU	0	1
2	1	GMB	Gosu Pepper	Support	Lulu	0	5	4	EU	0	1
2	1	SK	Fredy122	Top	Maokai	0	11	5	EU	0	1
2	1	SK	Svenskeren	Jungle	Evelynn	1	10	6	EU	0	1
2	1	SK	Fox	Mid	Azir	4	7	2	EU	0	1
2	1	SK	CandyPanda	ADC	Kalista	3	3	2	EU	0	1
2	1	SK	nRated	Support	Nautilus	0	6	5	EU	0	1
2	1	CW	YoungBuck	Top	Maokai	0	6	2	EU	0	1
2	1	CW	Airwaks	Jungle	Evelynn	2	4	1	EU	0	1
2	1	CW	Soren	Mid	Kassadin	0	3	0	EU	0	1
2	1	CW	Freeze	ADC	Lucian	0	0	3	EU	0	1
2	1	CW	Unlimited	Support	Bard	1	3	0	EU	0	1
2	1	GIA	Werlyb	Top	Maokai	4	2	21	EU	1	0
2	1	GIA	Fr3deric	Jungle	Evelynn	6	3	18	EU	1	0
2	1	GIA	PePiiNeRo	Mid	Diana	12	4	9	EU	1	0
2	1	GIA	Adryh	ADC	Sivir	7	0	13	EU	1	0
2	1	GIA	GoDFRED	Support	Morgana	1	1	19	EU	1	0
2	1	ROC	Steve	Top	Maokai	7	10	8	EU	0	1
2	1	ROC	Jankos	Jungle	Gragas	4	0	14	EU	0	1
2	1	ROC	Nukeduck	Mid	Irelia	2	5	8	EU	0	1
2	1	ROC	Woolite	ADC	Urgot	6	3	7	EU	0	1
2	1	ROC	Vander	Support	Morgana	2	1	12	EU	0	1
2	1	EL	Jwaow	Top	Hecarim	3	6	4	EU	0	1
2	1	EL	Dexter	Jungle	Sejuani	1	6	8	EU	0	1
2	1	EL	Froggen	Mid	Viktor	1	8	6	EU	0	1
2	1	EL	Tabzz	ADC	Kog'Maw	4	3	2	EU	0	1
2	1	EL	promisQ	Support	Alistar	1	7	4	EU	0	1
2	2	FNC	Huni	Top	Cho'Gath	2	1	14	EU	1	0
2	2	FNC	Reignover	Jungle	Rek'Sai	2	0	10	EU	1	0
2	2	FNC	Febiven	Mid	Azir	5	1	4	EU	1	0
2	2	FNC	Rekkles	ADC	Ezreal	5	3	6	EU	1	0
2	2	FNC	YellOwStaR	Support	Morgana	0	1	10	EU	1	0
2	2	OG	Soaz	Top	Hecarim	5	2	4	EU	1	0
2	2	OG	Amazing	Jungle	Gragas	4	0	5	EU	1	0
2	2	OG	xPeke	Mid	Vladimir	4	0	0	EU	1	0
2	2	OG	Niels	ADC	Kalista	3	0	8	EU	1	0
2	2	OG	Mithy	Support	Thresh	0	0	10	EU	1	0
2	2	H2K	Odoamne	Top	Rumble	6	0	5	EU	1	0
2	2	H2K	Loulex	Jungle	Rek'Sai	2	0	10	EU	1	0
2	2	H2K	Ryu	Mid	Orianna	2	1	7	EU	1	0
2	2	H2K	Hjarnan	ADC	Sivir	5	2	5	EU	1	0
2	2	H2K	kaSing	Support	Thresh	1	2	10	EU	1	0
2	2	UOL	Vizicsacsi	Top	Nocturne	3	6	4	EU	1	0
2	2	UOL	Kikis	Jungle	Gragas	2	4	12	EU	1	0
2	2	UOL	PowerOfEvil	Mid	Kog'Maw	2	3	7	EU	1	0
2	2	UOL	Vardags	ADC	Sivir	7	2	9	EU	1	0
2	2	UOL	Hylissang	Support	Annie	3	6	13	EU	1	0
2	2	GMB	Cabochard	Top	Ryze	0	4	3	EU	0	1
2	2	GMB	Diamond	Jungle	Gragas	2	2	3	EU	0	1
2	2	GMB	Betsy	Mid	Ahri	3	4	0	EU	0	1
2	2	GMB	Forg1ven	ADC	Sivir	1	2	1	EU	0	1
2	2	GMB	Gosu Pepper	Support	Alistar	0	3	4	EU	0	1
2	2	SK	Fredy122	Top	Rumble	1	4	4	EU	0	1
2	2	SK	Svenskeren	Jungle	Sejuani	2	6	2	EU	0	1
2	2	SK	Fox	Mid	Zed	1	3	5	EU	0	1
2	2	SK	CandyPanda	ADC	Sivir	4	2	3	EU	0	1
2	2	SK	nRated	Support	Alistar	0	2	5	EU	0	1
2	2	CW	YoungBuck	Top	Maokai	1	1	0	EU	0	1
2	2	CW	Airwaks	Jungle	Evelynn	1	7	0	EU	0	1
